id,obj_count,trigger_count,portal_count,x_min,x_max,y_min,y_max,stars
85617039,53403,3344,95,-29.0,27585.0,-109.489,2119.74,10
62877097,22305,903,56,-29.0,25717.0,-165.0,1965.0,8
41619770,29247,1050,77,-29.0,22185.0,-180.0,2339.0,6
37169373,16717,404,23,-29.0,24975.0,-100.0,1469.25,7
77780116,70320,4342,91,-29.0,34635.0,15.0,2355.0,9
81025028,39286,7085,69,-29.0,35506.3,-180.0,2400.0,4
569467,3714,122,2,675.0,26535.0,2.0,885.0,6
460862,6043,141,19,15.0,24525.0,-135.0,855.0,6
56680161,43302,840,239,-29.0,26115.0,-147.877,2392.25,8
57276799,60861,1435,55,-29.0,28005.0,-180.0,2220.0,8
36473087,44733,1807,58,-29.0,25259.0,-180.0,2385.0,10
882417,4919,24,9,315.0,44265.0,2.0,465.0,8
73845625,9119,2074,0,-29.0,22035.0,45.0,2400.0,1
24811499,14551,1155,13,1.0,29385.0,-172.463,1095.0,3
91438845,38192,3657,14,-29.0,24135.0,-15.0,2349.19,6
63422509,268774,6295,439,-29.0,73005.0,-180.0,2295.0,10
32371324,27983,914,87,-29.0,31031.1,-172.5,1515.0,9
6767410,16959,319,14,301.0,19450.0,-4.0,1039.0,2
43423579,59245,4119,86,-29.0,39649.0,-180.0,2385.0,9
63521481,39586,1067,19,-29.0,26385.9,-180.0,2285.31,4
14037498,20000,2458,20,3.97504,20385.0,-135.0,1185.0,3
69119712,27498,692,62,-29.0,22155.0,-180.0,1845.0,6
6170849,21433,1537,15,1.0,28289.9,-15.0,1485.0,4
62540072,38474,5820,38,-29.0,27803.0,-180.0,2400.0,9
158692,3808,48,7,285.0,24285.0,2.0,525.0,1
58674244,34834,1073,46,-29.0,22319.2,-180.0,1485.0,6
278956,4004,86,9,315.0,24261.0,1.0,525.0,9
77192355,62110,2201,50,-395.0,29352.0,-180.0,2244.12,6
37641514,42727,2876,88,-29.0,26575.0,-180.0,1967.13,6
28750,3554,29,94,465.0,29912.0,2.0,1185.0,1
90562111,30829,2846,72,-29.0,28994.0,-180.0,1665.0,8
337929,4360,111,18,315.0,23991.3,2.0,675.0,1
35569937,16174,401,8,-29.0,19559.0,-150.001,1530.0,4
39599737,33397,699,47,-29.0,30075.0,-165.0,1275.0,10
59508012,35649,2233,75,-29.0,21017.0,-135.0,2348.0,4
42159901,52354,2913,92,-29.0,29196.0,-180.0,2295.0,9
13767461,14583,295,36,1.0,23775.0,-195.0,1035.0,2
55985772,73562,2002,79,-149.0,20716.0,-180.0,2400.0,10
35834655,21143,607,50,-29.0,20175.0,-173.48,1515.0,5
34238194,28569,1138,2,-29.0,16125.0,-180.0,2400.0,2
9191033,14015,2081,66,45.0,19725.0,1.0,1039.0,1
38181863,21851,513,30,-29.0,20595.0,-180.0,885.0,6
31085942,23041,1065,9,-180.455,22275.0,-165.0,2205.0,5
31372254,15073,753,26,-29.0,25515.0,-180.0,1665.0,8
1034459,4771,1170,5,328.0,28995.0,6.0,345.0,6
12756371,17565,1110,28,135.0,31909.0,-165.0,1395.0,9
6937526,19937,69,16,181.0,20445.0,1.0,495.0,3
36767254,62362,427,29,-585.0,27645.0,-15.0,2385.0,7
73631611,67157,2952,92,-29.0,27935.8,-180.0,2374.0,8
16859692,15791,1383,11,1.0,23276.1,-91.2293,1185.0,3
31087323,26069,1662,15,-29.0,19657.0,-180.0,1780.81,4
70140401,28013,1664,87,-29.0,22575.0,-167.0,2385.0,6
61945844,38021,1439,36,-29.0,22035.0,-180.0,855.0,4
63336521,26226,3674,36,-29.0,26571.8,-180.0,2391.0,8
35335302,21805,540,63,-29.0,18975.0,-180.0,1185.0,5
35115143,34926,1540,101,-29.0,21745.0,-157.23,1252.5,6
44013066,51508,379,55,-29.0,20120.7,-180.0,1545.0,6
13434068,26486,265,88,1.0,15615.0,-93.158,1440.0,1
11239705,10203,81,25,-138.25,19635.0,-140.375,855.0,3
4192027,7566,176,34,135.0,21255.0,-105.0,1005.0,6
62105830,29003,815,38,-970.64,21075.0,-180.0,2385.0,5
88556820,136908,3576,111,-29.0,52155.0,-170.374,2325.0,10
19351745,18104,799,70,0.0,48102.8,-180.0,1545.0,1
24276088,14489,660,4,1.0,18989.2,-75.0,1635.0,1
48441790,20910,1233,62,-29.0,32115.0,-90.0,1351.0,8
228804,3411,68,72,315.0,26085.0,1.0,1200.0,1
4024683,12561,128,33,315.0,18469.5,1.0,495.0,5
13226698,13882,366,62,525.0,19427.1,-102.0,555.0,2
55183166,14932,1542,65,-29.0,39015.0,-180.0,1785.0,8
58679611,41761,1225,34,-29.0,24555.0,-180.0,2301.0,4
55499424,41334,828,58,-29.0,20832.1,-165.0,2400.0,5
36007540,31117,717,193,-29.0,19392.9,-180.0,2325.0,6
65755048,19015,1607,35,-29.0,23949.3,-180.0,1659.51,6
60373613,21364,3204,79,-29.0,17685.0,-180.0,2329.36,4
47800315,48701,4043,27,-2319.85,25035.0,-341.0,2400.0,7
93136999,28771,1705,135,-29.0,34754.6,-180.0,2385.0,10
35280911,47128,763,51,-29.0,23545.0,-180.0,1665.0,5
58658447,40106,1639,17,-29.0,19865.0,-182.5,1410.0,6
81186977,65675,4036,137,-29.0,31395.0,-165.0,2385.0,10
94802277,22080,122,37,-29.0,16545.0,15.0,1425.0,3
96366045,51220,3759,22,-1379.38,23565.0,-135.0,2346.5,7
69230086,179889,7565,271,-19157.6,79605.0,-142.953,3164.75,10
29389904,3610,2025,18,-29.0,33015.0,-180.0,1575.0,3
79604,3977,121,47,1.0,22746.2,1.0,1200.0,1
