timestamp_utc,tag,sweep_param,sweep_value,hidden_size,batch_size,lr,weight_decay,epochs_stage1,epochs_stage2,l1_lambda,n_select,loss,huber_beta,seed,selected_feature_count,val_loss,val_acc,val_off_by_one,test_loss,test_acc,test_off_by_one
20260309T054315Z,sweep_lr,lr,1e-5,128,8,1e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.06355354746403964,0.2591093117408907,0.631578947368421,0.046708580498632635,0.2834008097165992,0.6963562753036437
20260309T054541Z,sweep_lr,lr,3e-5,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T054722Z,sweep_lr,lr,1e-4,128,8,0.0001,0.0,100,100,0.001,25,mse,1.0,42,25,0.05596212075216326,0.31983805668016196,0.728744939271255,0.03995835540537168,0.29554655870445345,0.7732793522267206
20260309T054852Z,sweep_lr,lr,3e-4,128,8,0.0003,0.0,100,100,0.001,25,mse,1.0,42,25,0.05336065134146677,0.2834008097165992,0.7408906882591093,0.036577720104562124,0.3157894736842105,0.7773279352226721
20260309T055116Z,sweep_lr,lr,1e-3,128,8,0.001,0.0,100,100,0.001,25,mse,1.0,42,25,0.054246440658021554,0.2834008097165992,0.7044534412955465,0.03708705129592042,0.3441295546558704,0.7611336032388664
20260309T060723Z,sweep_batch,batch_size,4,128,4,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.058648024672483985,0.2834008097165992,0.7165991902834008,0.03898972750976983,0.2874493927125506,0.7732793522267206
20260309T061025Z,sweep_batch,batch_size,8,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T061223Z,sweep_batch,batch_size,16,128,16,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05686750343665179,0.29554655870445345,0.7044534412955465,0.039297398715185734,0.3117408906882591,0.7611336032388664
20260309T061313Z,sweep_batch,batch_size,32,128,32,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.06402849327576787,0.26720647773279355,0.6396761133603239,0.042544845280497665,0.291497975708502,0.708502024291498
20260309T061343Z,sweep_batch,batch_size,64,128,64,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.06355280785063501,0.21862348178137653,0.631578947368421,0.05384885352331135,0.2874493927125506,0.6558704453441295
20260309T061921Z,sweep_loss,loss,mse,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.058472491129629524,0.27125506072874495,0.7044534412955465,0.038206828019095335,0.29554655870445345,0.757085020242915
20260309T062255Z,sweep_loss,loss,l1,128,8,3e-05,0.0,100,100,0.001,25,l1,1.0,42,25,0.18399726427518404,0.2793522267206478,0.7044534412955465,0.15647311315604068,0.2793522267206478,0.7611336032388664
20260309T062546Z,sweep_loss,loss,huber,128,8,3e-05,0.0,100,100,0.001,25,huber,1.0,42,25,0.02989887724430696,0.3157894736842105,0.7125506072874493,0.021026517969635335,0.30364372469635625,0.757085020242915
20260309T062745Z,sweep_huber_beta,huber_beta,0.5,128,8,3e-05,0.0,100,100,0.001,25,huber,0.5,42,25,0.05622519284999564,0.27530364372469635,0.7004048582995951,0.03862832383316779,0.29959514170040485,0.7530364372469636
20260309T063006Z,sweep_huber_beta,huber_beta,1.0,128,8,3e-05,0.0,100,100,0.001,25,huber,1.0,42,25,0.0303081878336516,0.29554655870445345,0.7125506072874493,0.020518313154487718,0.3076923076923077,0.7651821862348178
20260309T063234Z,sweep_huber_beta,huber_beta,2.0,128,8,3e-05,0.0,100,100,0.001,25,huber,2.0,42,25,0.013516174834824887,0.30364372469635625,0.708502024291498,0.010628618139713279,0.291497975708502,0.7246963562753036
20260309T063331Z,sweep_huber_beta,huber_beta,3.0,128,8,3e-05,0.0,100,100,0.001,25,huber,3.0,42,25,0.010127314660502108,0.2550607287449393,0.6923076923076923,0.007450438781381257,0.29959514170040485,0.7449392712550608
20260309T063422Z,sweep_huber_beta,huber_beta,5.0,128,8,3e-05,0.0,100,100,0.001,25,huber,5.0,42,25,0.007388895724406127,0.2388663967611336,0.6356275303643725,0.006269980655598495,0.23481781376518218,0.6558704453441295
20260309T063529Z,sweep_seed,seed,0,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,0,25,0.058472491129629524,0.27125506072874495,0.7044534412955465,0.038206828019095335,0.29554655870445345,0.757085020242915
20260309T063634Z,sweep_seed,seed,7,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,7,25,0.05830147842073489,0.291497975708502,0.7004048582995951,0.038582638328374635,0.3117408906882591,0.7530364372469636
20260309T063809Z,sweep_seed,seed,21,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,21,25,0.05964387985708019,0.27125506072874495,0.6882591093117408,0.0406217606971983,0.27530364372469635,0.7327935222672065
20260309T063926Z,sweep_seed,seed,42,128,8,3e-05,0.0,100,100,0.001,25,mse,1.0,42,25,0.05850528133844557,0.27125506072874495,0.680161943319838,0.04000707081545461,0.291497975708502,0.7449392712550608
